tx_id,tx_size,tx_fee
1,605,2398
2,856,3173
3,789,7931
4,786,5677
5,614,2054
6,660,5036
7,100,2080
8,522,3483
9,387,7133
10,906,6357
11,972,1263
12,364,5833
13,829,5210
14,497,5448
15,578,9502
16,228,5816
17,480,8428
18,350,7760
19,473,3112
20,273,2862
21,617,5878
22,493,7363
23,718,5196
24,119,1750
25,852,5938
26,482,3743
27,169,9825
28,795,3685
29,714,8365
30,747,4456
31,865,3645
32,417,9897
33,406,1235
34,835,2705
35,286,9099
36,752,9958
37,585,6697
38,965,7337
39,284,8570
40,471,5600
41,312,5264
42,115,8651
43,325,2155
44,656,1701
45,523,7149
46,739,7597
47,907,9510
48,407,6178
49,374,9049
50,129,9289
51,577,6244
52,315,7917
53,925,6472
54,876,4724
55,156,7496
56,628,3015
57,311,1088
58,681,1492
59,781,9308
60,618,6062
61,1000,1650
62,811,9335
63,311,7988
64,516,9243
65,211,2738
66,158,4572
67,718,3147
68,469,2844
69,736,7954
70,415,9417
71,703,3172
72,526,9665
73,256,4795
74,950,5827
75,217,1575
76,803,1712
77,981,4130
78,510,2011
79,671,5139
80,889,2881
81,175,5878
82,736,4533
83,940,4993
84,732,6546
85,346,7149
86,531,7136
87,403,1844
88,642,1914
89,911,1474
90,703,7964
91,977,4268
92,129,9073
93,192,5787
94,714,3492
95,684,9085
96,588,1713
97,524,1172
98,538,5700
99,928,4929
100,632,9621
101,884,9899
102,532,7897
103,445,3228
104,759,8368
105,504,1698
106,998,4361
107,416,6199
108,385,2362
109,503,2626
110,929,3668
111,581,6948
112,647,5147
113,727,2177
114,578,2809
115,869,3719
116,207,3024
117,903,7741
118,908,8026
119,860,5462
120,186,2891
121,376,1072
122,870,5234
123,794,4616
124,103,9955
125,695,1640
126,120,7428
127,860,2999
128,233,4374
129,983,5211
130,569,1733
131,420,8350
132,904,4421
133,866,7431
134,251,7451
135,230,9966
136,778,8043
137,789,2163
138,683,3650
139,785,5550
140,611,4869
141,302,5922
142,919,3217
143,870,1429
144,510,8300
145,822,3820
146,874,7839
147,238,9304
148,730,8545
149,124,2020
150,926,7142
151,856,8968
152,590,9504
153,691,1104
154,669,3519
155,522,9089
156,266,9217
157,608,1888
158,956,8912
159,424,4329
160,905,2565
161,570,1914
162,222,3220
163,526,9158
164,134,9202
165,688,4074
166,734,9808
167,681,8936
168,415,7184
169,883,7062
170,181,1537
171,691,4535
172,187,1950
173,979,2314
174,637,9081
175,377,5880
176,271,2354
177,665,5335
178,584,8496
179,974,2348
180,436,1981
181,714,5747
182,982,5248
183,782,9295
184,470,3691
185,137,6998
186,561,9714
187,722,6154
188,776,5010
189,995,8443
190,941,9825
191,422,6578
192,500,6439
193,980,8152
194,946,7598
195,610,6434
196,416,8621
197,503,3827
198,755,6815
199,509,7281
200,511,6123
201,508,2530
202,957,1383
203,391,6504
204,348,6333
205,842,3989
206,874,7635
207,785,7624
208,358,2487
209,509,5792
210,755,1639
211,602,6007
212,738,8105
213,201,2721
214,684,3305
215,722,1308
216,568,2299
217,943,3370
218,300,8658
219,968,3604
220,177,5366
221,202,8956
222,151,7225
223,464,7531
224,774,3416
225,739,5800
226,329,3977
227,180,4515
228,961,5863
229,294,1794
230,440,5344
231,992,7586
232,831,8054
233,284,9143
234,465,4353
235,929,9048
236,486,6318
237,208,8709
238,745,2833
239,979,1891
240,618,5526
241,415,1653
242,324,8400
243,115,5557
244,330,9592
245,237,5580
246,997,7473
247,169,9117
248,629,8548
249,841,4845
250,273,2087
251,985,6405
252,816,3368
253,849,9797
254,195,9799
255,424,6139
256,762,4521
257,997,5794
258,643,5462
259,964,5927
260,402,5232
261,621,7319
262,385,3261
263,926,2897
264,797,3714
265,518,6740
266,117,7620
267,290,9458
268,797,1602
269,395,8708
270,330,7836
271,848,4956
272,256,2306
273,360,1151
274,243,3068
275,100,2138
276,461,1663
277,876,3976
278,751,8848
279,102,9591
280,621,9867
281,403,5419
282,153,1687
283,705,3691
284,214,8052
285,267,3319
286,846,2535
287,694,1210
288,659,1477
289,794,7465
290,294,7719
291,342,3189
292,903,7770
293,872,5925
294,215,4664
295,834,5713
296,719,8846
297,136,7907
298,827,4170
299,475,2846
300,874,6136
301,491,5423
302,940,8238
303,675,3403
304,894,5676
305,536,4261
306,948,6284
307,658,6498
308,358,2775
309,422,8211
310,329,2529
311,854,5715
312,349,8899
313,922,2111
314,720,8275
315,310,8281
316,302,4139
317,203,5323
318,832,6939
319,610,1103
320,110,4718
321,828,5712
322,755,4048
323,225,3329
324,171,1121
325,650,5272
326,285,4440
327,133,3290
328,605,3122
329,783,8020
330,278,4775
331,626,9803
332,593,5653
333,225,5144
334,460,3998
335,361,8364
336,821,2860
337,294,1144
338,932,6590
339,738,1308
340,147,8580
341,177,6021
342,989,7484
343,340,9998
344,896,3049
345,449,2594
346,140,1890
347,948,3066
348,265,9144
349,728,3211
350,974,3007
351,927,3059
